date,current_balance,unit_price,daily_profit,is_stop_loss,is_take_profit
2024-04-27,194398,100,-4700,0,0
2024-04-28,191298,100,-3100,0,0
2024-05-04,201708,100,10410,0,0
2024-05-05,204688,200,2980,0,0
2024-05-11,212507,200,7819,0,0
2024-05-12,252707,200,40200,0,0
2024-05-18,252187,200,-520,0,0
2024-05-19,247787,200,-4400,0,0
2024-05-25,242587,200,-5200,0,0
2024-05-26,238987,200,-3600,0,0
2024-06-01,233187,200,-5800,0,0
2024-06-02,228987,200,-4200,0,0
2024-06-08,240667,200,11680,0,0
2024-06-09,234067,200,-6600,0,0
2024-06-15,234267,200,200,0,0
2024-06-16,256206,200,21939,0,0
2024-06-22,260886,200,4680,0,0
2024-06-23,292526,200,31640,0,0
2024-06-29,289526,200,-3000,0,0
2024-06-30,291686,200,2160,0,0
2024-07-06,289086,200,-2600,0,0
2024-07-07,295726,200,6640,0,0
2024-07-13,314826,200,19100,0,0
2024-07-14,312426,300,-2400,0,0
2024-07-20,305526,300,-6900,0,0
2024-07-21,300126,300,-5400,0,0
2024-07-27,296226,300,-3900,0,0
2024-07-28,295226,200,-1000,0,0
2024-08-03,304326,200,9100,0,0
2024-08-04,301626,300,-2700,0,0
2024-08-10,294826,300,-6800,0,0
2024-08-11,314626,200,19800,0,0
2024-08-17,313606,300,-1020,0,0
2024-08-18,303106,300,-10500,0,0
2024-08-24,295206,300,-7900,0,0
2024-08-25,291606,200,-3600,0,0
2024-08-31,289166,200,-2440,0,0
2024-09-01,285566,200,-3600,0,0
2024-09-07,283766,200,-1800,0,0
2024-09-08,281166,200,-2600,0,0
2024-09-14,278566,200,-2600,0,0
2024-09-15,277566,200,-1000,0,0
2024-09-16,276566,200,-1000,0,0
2024-09-21,274766,200,-1800,0,0
2024-09-22,277986,200,3220,0,0
2024-09-28,275186,200,-2800,0,0
2024-09-29,272386,200,-2800,0,0
2024-10-05,276306,200,3920,0,0
2024-10-06,273906,200,-2400,0,0
2024-10-12,311246,200,37340,0,0
2024-10-13,310046,300,-1200,0,0
2024-10-14,307046,300,-3000,0,0
2024-10-19,308276,300,1230,0,0
2024-10-20,305276,300,-3000,0,0
2024-10-26,298676,300,-6600,0,0
2024-10-27,292876,200,-5800,0,0
2024-11-02,290276,200,-2600,0,0
2024-11-03,300315,200,10039,0,0
2024-11-09,307455,300,7140,0,0
2024-11-10,331785,300,24330,0,0
2024-11-16,389655,300,57870,0,0
2024-11-17,388515,300,-1140,0,0
2024-11-23,379815,300,-8700,0,0
2024-11-24,372915,300,-6900,0,0
2024-11-30,362115,300,-10800,0,0
2024-12-01,360975,300,-1140,0,0
2024-12-07,453385,300,92410,0,0
2024-12-08,458065,400,4680,0,0
2024-12-14,483505,400,25440,0,0
2024-12-15,466305,400,-17200,0,0
2024-12-21,453505,400,-12800,0,0
2024-12-22,447105,400,-6400,0,0
2024-12-28,448465,400,1360,0,0
2025-01-05,441665,400,-6800,0,0
2025-01-06,429265,400,-12400,0,0
2025-01-11,420865,400,-8400,0,0
2025-01-12,409265,400,-11600,0,0
2025-01-13,443305,400,34040,0,0
2025-01-18,433305,400,-10000,0,0
2025-01-19,426105,400,-7200,0,0
2025-01-25,412905,400,-13200,0,0
2025-01-26,399705,400,-13200,0,0
2025-02-01,395165,300,-4540,0,0
2025-02-02,390665,300,-4500,0,0
2025-02-08,384965,300,-5700,0,0
2025-02-09,377765,300,-7200,0,0
2025-02-10,375965,300,-1800,0,0
2025-02-15,366965,300,-9000,0,0
2025-02-16,389015,300,22050,0,0
2025-02-22,375515,300,-13500,0,0
2025-02-23,366515,300,-9000,0,0
2025-03-01,373835,300,7320,0,0
2025-03-02,363935,300,-9900,0,0
2025-03-08,356435,300,-7500,0,0
2025-03-09,352235,300,-4200,0,0
2025-03-15,344735,300,-7500,0,0
2025-03-16,336035,300,-8700,0,0
2025-03-22,406105,300,70070,0,0
2025-03-23,398205,400,-7900,0,0
2025-03-29,390105,300,-8100,0,0
2025-03-30,381705,300,-8400,0,0
2025-04-05,373605,300,-8100,0,0
2025-04-06,366105,300,-7500,0,0
2025-04-12,357105,300,-9000,0,0
2025-04-13,349605,300,-7500,0,0
2025-04-19,343305,300,-6300,0,0
2025-04-20,334605,300,-8700,0,0
2025-04-26,321705,300,-12900,0,0
2025-04-27,312705,300,-9000,0,0
2025-05-03,305205,300,-7500,0,0
2025-05-04,297805,300,-7400,0,0
2025-05-10,291205,200,-6600,0,0
2025-05-11,286005,200,-5200,0,0
2025-05-17,282005,200,-4000,0,0
2025-05-18,276805,200,-5200,0,0
2025-05-24,269005,200,-7800,0,0
2025-05-25,262805,200,-6200,0,0
2025-05-31,286125,200,23320,0,0
2025-06-01,281925,200,-4200,0,0
2025-06-07,277325,200,-4600,0,0
2025-06-08,271525,200,-5800,0,0
2025-06-14,265525,200,-6000,0,0
2025-06-15,261925,200,-3600,0,0
2025-06-21,256725,200,-5200,0,0
2025-06-22,253725,200,-3000,0,0
2025-06-28,250925,200,-2800,0,0
2025-06-29,249125,200,-1800,0,0
2025-07-05,246725,200,-2400,0,0
2025-07-06,245725,200,-1000,0,0
2025-07-12,243325,200,-2400,0,0
2025-07-13,240125,200,-3200,0,0
2025-07-19,237725,200,-2400,0,0
2025-07-20,233925,200,-3800,0,0
2025-07-26,230925,200,-3000,0,0
2025-07-27,227325,200,-3600,0,0
2025-08-02,229205,200,1880,0,0
2025-08-03,226805,200,-2400,0,0
2025-08-09,224005,200,-2800,0,0
2025-08-10,219805,200,-4200,0,0
2025-08-16,214605,200,-5200,0,0
2025-08-17,208405,200,-6200,0,0
2025-08-23,204805,200,-3600,0,0
2025-08-24,199805,200,-5000,0,0
2025-08-30,197305,100,-2500,0,0
2025-08-31,194805,100,-2500,0,0
2025-09-06,192705,100,-2100,0,0
2025-09-07,191005,100,-1700,0,0
2025-09-13,189905,100,-1100,0,0
2025-09-14,188705,100,-1200,0,0
2025-09-15,186705,100,-2000,0,0
2025-09-20,184705,100,-2000,0,0
2025-09-21,183205,100,-1500,0,0
2025-09-27,180105,100,-3100,0,0
2025-09-28,177105,100,-3000,0,0
2025-10-04,175105,100,-2000,0,0
2025-10-05,173305,100,-1800,0,0
2025-10-11,172405,100,-900,0,0
2025-10-12,171505,100,-900,0,0
2025-10-13,170505,100,-1000,0,0
